seed_set,n_variants,novelty_pct,mean_binding_capacity,max_binding_capacity
MT_bacterial_redox,120,100.0,0.6074820008551013,0.9989641904830932
MT_bacterial_transformation,40,100.0,0.26082707888521167,0.993403136730194
cd_specific,160,100.0,0.4280083587441975,0.9964995384216307
hg_specific,120,100.0,0.49078349620800643,0.995659112930298
pb_mer_operon,120,100.0,0.2905646798417925,0.997156858444214
